,active_from,active_to,birth_year,birth_date,Height_in_feet,college,height,player_name,position,weight,NBA__3ptapg,NBA__3ptpct,NBA__3ptpg,NBA_efgpct,NBA_fg%,NBA_fg_per_game,NBA_fga_per_game,NBA_ft%,NBA_ft_per_g,NBA_fta_p_g,NBA_g_played,NBA_ppg,NCAA__3ptapg,NCAA__3ptpct,NCAA__3ptpg,NCAA_fgapg,NCAA_fgpct,NCAA_fgpg,NCAA_ft,NCAA_ftapg,NCAA_ftpg,NCAA_games,NCAA_ppg,Years_played,Draft_age,WinShare/48,WingSpan,Standing_vert,Max_vertical,Agility,Sprint,Draft_Pick
2116,2016,2018,1996,5/10/1996,6.2,Duke University,6.2.2020,Tyus Jones,G,195,1.4,0.339,0.5,0.486,0.422,1.6,3.7,0.81,0.7,0.9,177,4.4,3.2,0.379,1.2,8.3,0.417,3.5,0.889,4.2,3.7,39,11.8,2,20,#N/A,77,97,129.5,11.89,3.32,24
356,2014,2018,1992,7/17/1992,6.4,Marquette University,6.4.2020,Vander Blue,G,200,1.3,0.154,0.2,0.333,0.308,1.2,3.9,0.333,0.4,1.2,10,3,1.8,0.277,0.5,7.7,0.429,3.3,0.704,3,2.1,106,9.3,4,22,-0.214,78,100.5,138,10.4,3.14,0
2500,2012,2012,1986,9/20/1986,6.1,"Georgetown University, University of Florida",6.10.2020,Vernon Macklin,F,227,0,,0,0.543,0.543,0.8,1.5,0.571,0.3,0.6,23,2,0,0,0,5.3,0.61,3.2,0.455,1.9,0.8,136,7.3,0,26,0.161,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2280,2013,2014,1987,8/25/1987,7.1,,7.1.2000,Viacheslav Kravtsov,C,260,0,,0,0.672,0.672,0.9,1.4,0.333,0.3,1,45,2.2,,,,,,,,,,,,1,26,0.086,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
718,2013,2015,1988,8/30/1988,6.9,,6.9.2020,Victor Claver,F,224,1.5,0.293,0.4,0.466,0.398,1.3,3.1,0.585,0.3,0.5,80,3.2,,,,,,,,,,,,2,25,-0.005,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3053,2014,2018,1992,5/4/1992,6.4,Indiana University,6.4.2020,Victor Oladipo,G,210,4.2,0.353,1.5,0.496,0.445,6.4,14.4,0.8,3.1,3.8,366,17.4,1.4,0.338,0.5,7.3,0.538,3.9,0.716,3.5,2.5,104,10.7,4,22,0.026,81.25,100.5,142.5,10.69,3.25,2
1210,2014,2014,1988,5/5/1988,6.11,,6.11.2020,Vitor Faverani,C,260,1.1,0.3,0.3,0.476,0.435,1.7,4,0.649,0.6,1,37,4.4,,,,,,,,,,,,0,26,0.031,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3544,2012,2012,1982,10/6/1982,6.1,Jacksonville State University,6.1.2000,Walker Russell,G,170,0.5,0.308,0.1,0.368,0.347,1.2,3.4,0.636,0.5,0.8,28,3,2.6,0.376,1,9.7,0.444,4.3,0.842,4.9,4.2,86,13.7,0,30,-0.054,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
225,2013,2018,1991,1/6/1991,6.6,University of Memphis,6.6.2020,Will Barton,G,175,2.9,0.339,1,0.491,0.434,3.8,8.8,0.791,1.7,2.2,393,10.4,3.6,0.299,1.1,12,0.471,5.7,0.733,3.7,2.7,70,15.2,5,22,-0.028,81.75,102.5,136.5,12.5,3.6,40
690,2015,2015,1991,2/8/1991,6.1,University of Montana,6.1.2000,Will Cherry,G,185,1.1,0.222,0.3,0.316,0.263,0.6,2.4,0.5,0.4,0.8,8,1.9,3.1,0.285,0.9,9.8,0.43,4.2,0.718,4.9,3.5,116,12.8,0,24,-0.021,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
664,2016,2018,1993,8/18/1993,7.1,University of Kentucky,7.1.2000,Willie Cauley-Stein,F-C,240,0.1,0.188,0,0.523,0.522,3.8,7.4,0.64,1.5,2.4,212,9.2,0,,0,5.6,0.593,3.3,0.508,2.8,1.4,105,8,2,23,0.153,87,111,0,0,0,6
3364,2016,2018,1990,5/16/1990,6.1,Saint Louis University,6.10.2020,Willie Reed,F-C,220,0,0.333,0,0.594,0.592,2.1,3.5,0.561,0.7,1.3,152,4.9,0,,0,7.1,0.574,4.1,0.5,4.1,2,67,10.2,2,26,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2885,2016,2018,1992,6/1/1992,6.2,University of Rhode Island,6.2.2020,Xavier Munford,G,180,1.3,0.36,0.5,0.452,0.398,1.7,4.2,0.5,0.4,0.8,20,4.2,6.4,0.335,2.1,14.5,0.398,5.8,0.71,4.9,3.5,61,17.1,2,24,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3700,2012,2018,1988,1/22/1988,6.5,"University of Colorado, Northern Illinois University",6.5.2020,Xavier Silas,G,205,2,0.125,0.3,0.25,0.222,1,4.5,0.667,0.5,0.8,4,2.8,4.7,0.361,1.7,12,0.412,5,0.787,5.7,4.5,99,16.1,6,24,-0.131,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2350,2015,2018,1995,3/10/1995,6.5,"University of California, Los Angeles",6.5.2020,Zach LaVine,G,189,4,0.373,1.5,0.501,0.437,5.1,11.7,0.82,2.2,2.7,230,14,3.5,0.375,1.3,7.8,0.441,3.4,0.691,1.8,1.3,37,9.4,3,20,-0.018,80.25,100,141.5,10.42,3.19,13
1053,2015,2015,1989,6/22/1989,6.5,,6.5.2020,Zoran Dragic,G-F,200,0.9,0.214,0.2,0.417,0.367,0.7,1.9,0.6,0.2,0.3,16,1.8,,,,,,,,,,,,0,26,-0.035,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
