,active_from,active_to,birth_year,birth_date,Height_in_feet,college,height,player_name,position,weight,NBA__3ptapg,NBA__3ptpct,NBA__3ptpg,NBA_efgpct,NBA_fg%,NBA_fg_per_game,NBA_fga_per_game,NBA_ft%,NBA_ft_per_g,NBA_fta_p_g,NBA_g_played,NBA_ppg,NCAA__3ptapg,NCAA__3ptpct,NCAA__3ptpg,NCAA_fgapg,NCAA_fgpct,NCAA_fgpg,NCAA_ft,NCAA_ftapg,NCAA_ftpg,NCAA_games,NCAA_ppg,Years_played,Draft_age,WinShare/48,WingSpan,Standing_vert,Max_vertical,Agility,Sprint,Draft_Pick
507,2015,2018,1992,1/29/1992,6.3,Oklahoma State University,6.3.2020,Markel Brown,G,190,1.7,0.295,0.5,0.432,0.38,1.8,4.8,0.781,1,1.3,113,5.2,3.1,0.347,1.1,9.4,0.439,4.1,0.733,4.1,3,134,12.4,3,23,0.031,80.75,100,143.5,12.62,3.18,44
2852,2012,2018,1989,9/2/1989,6.1,University of Kansas,6.10.2020,Markieff Morris,F,245,2.1,0.339,0.7,0.487,0.452,4.6,10.2,0.778,1.9,2.5,519,11.9,0.9,0.404,0.3,5.7,0.553,3.1,0.653,2.9,1.9,109,8.5,6,23,0.059,82.75,106.5,138,0,3.4,13
3974,2013,2018,1993,2/28/1993,6.2,University of Kentucky,6.2.2020,Marquis Teague,G,189,0.5,0.222,0.1,0.363,0.343,0.9,2.7,0.661,0.4,0.6,91,2.4,2,0.325,0.7,8.8,0.412,3.6,0.714,3,2.1,40,10,5,20,-0.031,79.25,96.5,137,10.65,3.19,29
478,2012,2018,1989,1/26/1989,6.5,Providence College,6.5.2020,MarShon Brooks,G-F,200,1.5,0.355,0.5,0.489,0.451,3.1,7,0.755,1.3,1.8,169,8.2,4.2,0.333,1.4,11.2,0.464,5.2,0.739,3.6,2.6,113,14.4,6,23,0.022,85,101,139.5,10.74,3.09,25
3236,2014,2018,1990,3/5/1990,6.11,Duke University,6.11.2020,Mason Plumlee,C-F,245,0,0,0,0.565,0.565,3.4,5.9,0.565,1.9,3.4,387,8.6,0.1,0.2,0,6.5,0.574,3.7,0.583,4,2.4,141,9.8,4,24,0.176,83,108,144,10.89,3.29,22
970,2014,2018,1990,9/8/1990,6.4,Saint Mary's College of California,6.4.2020,Matthew Dellavedova,G,198,2.6,0.388,1,0.483,0.391,2.1,5.5,0.839,0.7,0.8,328,6,5.6,0.378,2.1,10.5,0.415,4.3,0.86,4,3.4,136,14.2,4,24,0.078,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1639,2013,2018,1993,5/11/1993,6.9,St. John's University,6.9.2020,Maurice Harkless,F-G,215,1.9,0.33,0.6,0.525,0.474,2.9,6.1,0.607,0.9,1.5,415,7.3,2.5,0.215,0.5,13.3,0.452,6,0.676,4.3,2.9,32,15.5,5,20,0.059,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2392,2013,2018,1992,2/27/1992,7.1,University of Illinois at Urbana-Champaign,7.1.2020,Meyers Leonard,C-F,245,1.8,0.373,0.7,0.542,0.468,2.1,4.5,0.824,0.6,0.7,331,5.5,0.2,0.083,0,5.4,0.567,3,0.729,2.2,1.6,65,7.7,5,21,0.097,87,108,140.5,11.34,3.41,11
651,2014,2018,1991,10/10/1991,6.6,Syracuse University,6.6.2020,Michael Carter-Williams,G,190,1.9,0.25,0.5,0.424,0.402,4.3,10.7,0.707,2.4,3.4,287,11.5,2.1,0.307,0.6,6.8,0.398,2.7,0.679,3.2,2.2,66,8.2,4,23,0.026,79.25,101,142,10.68,3.22,11
2198,2013,2018,1993,9/26/1993,6.7,University of Kentucky,6.7.2020,Michael Kidd-Gilchrist,F,232,0.1,0.194,0,0.478,0.477,3.6,7.5,0.707,1.9,2.8,356,9.2,1.3,0.255,0.3,8.2,0.491,4,0.745,4.8,3.6,40,11.9,5,20,0.051,84,104.5,140,11.77,3.18,2
1431,2012,2012,1986,7/26/1986,6.11,Alabama A&M University,6.11.2020,Mickell Gladness,C,220,0,,0,0.424,0.424,1,2.3,0.5,0.2,0.5,26,2.2,0,0,0,5.8,0.442,2.6,0.667,3.2,2.1,85,7.3,0,26,0.033,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2909,2014,2018,1991,7/1/1991,6.11,Bucknell University,6.11.2020,Mike Muscala,F-C,240,1.4,0.38,0.5,0.554,0.491,2.1,4.2,0.847,0.7,0.8,242,5.4,0.5,0.313,0.2,10.8,0.501,5.4,0.819,5.2,4.3,133,15.3,4,23,0.04,85,108,141.5,11.76,3.44,44
3624,2013,2018,1988,7/16/1988,6.8,University of Virginia,6.8.2020,Mike Scott,F,237,2.1,0.353,0.7,0.536,0.476,2.9,6.1,0.768,0.9,1.1,355,7.4,0.3,0.364,0.1,8.6,0.521,4.5,0.775,3.5,2.7,130,11.8,5,25,0.11,82.75,104,136.5,11.59,3.44,43
3237,2013,2018,1988,9/1/1988,6.11,Duke University,6.11.2020,Miles Plumlee,C-F,249,0,,0,0.537,0.537,2.2,4.1,0.541,0.6,1,327,4.9,0,1,0,3.5,0.557,1.9,0.625,1.5,0.9,135,4.8,5,25,-0.015,84.75,105.5,146,10.64,3.36,26
3316,2014,2015,1988,1/5/1988,7.1,,7.1.2000,Miroslav Raduljica,C,250,0,,0,0.53,0.53,1.3,2.5,0.825,0.9,1.1,53,3.6,,,,,,,,,,,,1,26,0.112,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3975,2013,2018,1985,9/18/1985,6.9,,6.9.2020,Mirza Teletovic,F,242,4.5,0.371,1.7,0.524,0.406,2.9,7.1,0.755,0.7,1,324,8.1,,,,,,,,,,,,5,28,0.087,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
